Company,Ratings,Founded,Indian_Headquarter_City,Indian_Headquarter_Country,Main_Headquarter_City,Main_Headquarter_Country,Indian_Employee_Count,Global_Employee_Count,Industry,Highly_Rated,Critically_Rated,Job_Security_Rating,WorkLife_Rating,Company_Culture_Rating,Skill_Development_Rating,Work_Satisfaction_Rating,Compensation_Rating,Career_Growth_Rating
Psp-Projects,3.9,2008.0,"Ahmedabad, Gujarat",India,"Ahmedabad, Gujarat",India,1948.0,1001-5000,Engineering & Construction,"Salary, Skill development",,3.7,3.7,3.6,3.8,3.7,3.8,3.4
Jubilant-Pharmova,3.7,1978.0,"Noida, Uttar Pradesh",India,"Noida, Uttar Pradesh",India,7000.0,5001-10000,Pharma,,,3.5,3.6,3.6,3.5,3.5,3.7,3.1
Amphenol-Interconnect,4.2,1972.0,"Pune, Maharashtra",India,"Pune, Maharashtra",India,3091.0,50001-100000,Electrical Equipment,"Work-life balance, Company culture, Job security",,4.0,4.2,4.1,4.0,4.0,4.0,3.5
Petrofac,4.2,1981.0,,,"Jermyn Street, London",India,3568.0,1001-5000,Oil & Gas,"Salary, Company culture, Work-life balance",,3.4,4.2,4.2,4.0,4.1,4.3,3.8
SFO-Technologies,3.4,1990.0,"Kochi/Cochin, Kerala",India,"Kochi/Cochin, Kerala",India,4142.0,1001-5000,Electronics Manufacturing,"Promotions, Salary, Work satisfaction",,3.4,3.3,3.2,3.4,3.2,2.8,2.6
Signify,3.4,2016.0,,,"Eindhoven, North Brabant",Netherlands,2691.0,10001-50000,Consumer Electronics & Appliances,"Promotions, Work satisfaction, Job security",,3.1,3.4,3.2,3.2,3.1,3.6,2.9
Reliance-Power,4.1,1995.0,"Navi Mumbai, Maharashtra",India,"Navi Mumbai, Maharashtra",India,1267.0,1001-5000,Power,"Job security, Work-life balance, Company culture",,4.2,4.1,3.9,3.9,3.9,3.7,3.8
KMV-Projects-Limited,4.3,,,,,,,,,,,,,,,,,
Tikona-Infinet,3.4,2008.0,"Mumbai,Maharashtra",India,"Mumbai,Maharashtra",India,1242.0,1001-5000,Telecom,"Promotions, Salary, Job security",,3.1,3.4,3.3,3.3,3.3,2.9,2.5
Timken,3.9,1998.0,"Bangalore/Bengaluru, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,1282.0,10001-50000,Industrial Machinery,Promotions,,3.7,3.7,3.6,3.5,3.6,3.5,3.0
Jaro-Education,3.2,2009.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,1340.0,1001-5000,Education & Training,Salary,"Work-life balance, Work satisfaction, Job security",3.0,2.9,3.0,3.2,3.0,3.8,3.2
Xceedance,3.6,2013.0,"Gurgaon / Gurugram, Haryana",India,"Boston, Massachusetts",United States (USA),3206.0,1001-5000,IT Services & Consulting,"Promotions, Salary, Work satisfaction",,3.7,3.6,3.6,3.4,3.3,3.2,3.1
Adani-Enterprises,3.6,1988.0,"Ahmedabad, Gujarat",India,"Ahmedabad, Gujarat",India,11571.0,10001-50000,Metals & Mining,"Promotions, Work satisfaction",,3.7,3.5,3.4,3.5,3.3,3.5,3.1
Velocis-Systems,3.8,1995.0,"Noida, Uttar Pradesh",India,"Noida, Uttar Pradesh",India,1201.0,1001-5000,IT Services & Consulting,"Job security, Work-life balance",Promotions,3.8,3.8,3.6,3.5,3.6,3.6,3.3
FLSmidth,3.6,1882.0,"Chennai, Tamil Nadu",India,"Copenhagen, Valby",Denmark,2500.0,10001-50000,Industrial Machinery,Work-life balance,"Job security, Promotions, Skill development",2.5,3.9,3.5,3.3,3.5,3.5,3.1
Hathway,3.3,1959.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,515.0,501-1000,Telecom,"Promotions, Skill development, Work satisfaction",,3.1,3.2,3.1,3.0,3.1,3.1,2.4
Hathway,3.3,1959.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,515.0,501-1000,Telecom,"Promotions, Skill development, Work satisfaction",,3.1,3.2,3.1,3.0,3.1,3.1,2.4
FLSmidth,3.6,1882.0,"Chennai, Tamil Nadu",India,"Copenhagen, Valby",Denmark,2500.0,10001-50000,Industrial Machinery,Work-life balance,"Job security, Promotions, Skill development",2.5,3.9,3.5,3.3,3.5,3.5,3.1
Bhanzu,3.8,2020.0,"Hyderabad,Telangana",India,"Hyderabad,Telangana",India,1736.0,1-10,EdTech,,,3.5,3.5,3.7,3.7,3.6,3.7,3.5
Cohance-Lifesciences,3.8,,,,"Hyderabad / Secunderabad, Telangana",India,1212.0,"1,001-5,000",Pharma,Work-life balance,,3.5,3.8,3.6,3.6,3.6,3.7,3.4
Navayuga-Engineering-Company,3.9,1899.0,"Hyderabad/Secunderabad, Telangana",India,"Hyderabad/Secunderabad, Telangana",India,1705.0,1001-5000,Engineering & Construction,Job security,,3.8,3.7,3.5,3.6,3.6,3.6,3.4
Godfrey-Phillips-India,4.0,1933.0,"Delhi/NCR, New Delhi",India,"Delhi/NCR, New Delhi",India,1077.0,1001-5000,FMCG,"Job security, Work-life balance, Company culture",Promotions,3.9,3.9,3.8,3.8,3.8,3.6,3.1
Naukri,4.1,1996.0,Noida,India,Noida,India,4785.0,1001-5000,Internet,"Job security, Company culture, Work-life balance",,4.3,4.1,4.1,4.0,4.0,4.0,3.9
Bayer,4.0,1863.0,,,"Monheim Am Rhein,North Rhine-westphalia",Germany,13001.0,100001+,Pharma,"Work-life balance, Company culture, Salary",Promotions,3.7,4.1,3.9,3.8,3.8,3.8,3.1
