Company,Ratings,Founded,Indian_Headquarter_City,Indian_Headquarter_Country,Main_Headquarter_City,Main_Headquarter_Country,Indian_Employee_Count,Global_Employee_Count,Industry,Highly_Rated,Critically_Rated,Job_Security_Rating,WorkLife_Rating,Company_Culture_Rating,Skill_Development_Rating,Work_Satisfaction_Rating,Compensation_Rating,Career_Growth_Rating
Blue-Dart-Express-Ltd,3.9,1970.0,,,,,,,,,,,,,,,,
Kansai-Nerolac-Paints,3.8,,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,3859.0,1001-5000,Chemicals,Promotions,,3.7,3.6,3.5,3.5,3.5,3.5,3.1
Nestlé,3.7,1920.0,,,Vevey,Switzerland,8419.0,100001+,FMCG,Salary,Promotions,3.6,3.4,3.5,3.7,3.4,3.9,3.0
Exide-Industries,3.4,1959.0,"Kolkata, West Bengal",India,"Kolkata, West Bengal",India,5133.0,10001-50000,Auto Components,"Promotions, Company culture, Work satisfaction",,3.4,3.3,3.1,3.2,3.2,3.3,2.7
Shell,3.9,1947.0,"London, England",India,"London, England",India,13000.0,50001-100000,Oil & Gas,"Work-life balance, Company culture, Salary","Promotions, Job security",3.3,4.3,4.0,3.5,3.6,3.9,3.0
ZS,3.1,1907.0,"Pune, Maharashtra",India,"Evanston, Illinois",United States (USA),8945.0,10001-50000,Management Consulting,,,3.3,2.1,3.2,3.2,2.7,3.6,3.0
Exl-India,3.5,1983.0,New Delhi,India,New Delhi,India,2000.0,10001-50000,Logistics,Job security,"Promotions, Salary, Work satisfaction",3.9,3.6,3.4,3.3,3.3,3.1,2.8
Star-Health-&-Allied-Insurance,3.5,1957.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",India,15798.0,10001-50000,Insurance,"Promotions, Company culture, Work satisfaction",,3.3,3.4,3.2,3.3,3.3,3.3,3.0
Flex,3.9,2006.0,"Chennai, Tamil Nadu",India,"Austin, Texas",United States,9001.0,100001+,Electronics Manufacturing,,,3.8,4.1,4.1,3.9,3.8,3.5,3.1
KPMG-Global-Services,3.4,1969.0,"Gurgaon / Gurugram, Haryana",India,"Gurgaon / Gurugram, Haryana",India,24000.0,10001-50000,Management Consulting,"Promotions, Work satisfaction, Salary",,3.6,3.4,3.4,3.3,3.1,3.2,2.8
Micro-Labs,3.6,2008.0,"Bangalore/Bengaluru, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,4904.0,1001-5000,Pharma,Job security,"Promotions, Salary, Company culture",3.8,3.5,3.3,3.5,3.4,3.2,3.2
Whitehat-jr,3.3,1973.0,"Mumbai,Maharashtra",India,"Mumbai,Maharashtra",India,6661.0,5001-10000,EdTech,"Job security, Promotions, Work satisfaction",,2.4,3.1,3.1,3.3,3.1,3.5,2.9
TVS-Supply-Chain-Solutions,3.8,2018.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",India,5269.0,10001-50000,Logistics,"Promotions, Salary",,3.7,3.7,3.5,3.6,3.5,3.3,3.1
ElasticRun,3.6,1896.0,"Pune, Maharashtra",India,"Pune, Maharashtra",India,1106.0,1001-5000,Logistics,Salary,"Job security, Promotions",3.0,3.5,3.5,3.6,3.4,3.8,3.3
Capita,3.5,2016.0,"Indore, Madhya Pradesh",India,"Indore, Madhya Pradesh",India,5201.0,50001-100000,BPO,"Promotions, Salary, Skill development",,3.2,3.7,3.5,3.2,3.3,3.1,2.7
Physicswallah,3.6,2005.0,"Noida, Uttar Pradesh",India,"Noida, Uttar Pradesh",Array,15775.0,10001-50000,EdTech,,,3.2,3.5,3.4,3.5,3.4,3.4,3.1
KFintech,3.4,2019.0,Hyderabad,India,Hyderabad,India,5936.0,5001-10000,Financial Services,"Promotions, Salary, Skill development",,3.6,3.4,3.2,3.1,3.2,2.6,2.5
G4S,4.0,2017.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,135000.0,100001+,Law Enforcement & Security,"Work-life balance, Job security, Salary",,3.9,4.0,3.8,3.8,3.8,3.9,3.4
Foxconn,3.8,1996.0,"Sriperumbudur, Tamil Nadu",India,Taipei,Taiwan,4001.0,100001+,Electronics Manufacturing,Job security,Promotions,3.9,3.6,3.5,3.7,3.6,3.6,3.1
Ajanta-Pharma,3.9,1974.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,9628.0,5001-10000,Pharma,Job security,Promotions,3.8,3.7,3.6,3.6,3.6,3.7,3.3
Voltas,4.0,1973.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,1912.0,10001-50000,Consumer Electronics & Appliances,"Job security, Work-life balance, Company culture",Promotions,4.1,3.9,3.8,3.8,3.7,3.7,3.3
Blue-Star,4.1,1954.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,3573.0,1001-5000,Consumer Electronics & Appliances,,,3.7,3.8,3.9,3.9,3.8,3.9,3.4
Care-Health-Insurance,3.5,1943.0,"Gurgaon, Haryana",India,"Gurgaon, Haryana",India,14701.0,10001-50000,Insurance,"Promotions, Salary, Work satisfaction",,3.5,3.5,3.3,3.3,3.3,3.2,3.1
Sonalika-Tractors,3.5,2012.0,"Hoshiarpur, Punjab",India,"Hoshiarpur, Punjab",India,3646.0,1001-5000,Automobile,"Promotions, Work satisfaction, Company culture",,3.7,3.3,3.2,3.4,3.2,3.4,3.1
Movate,3.1,1969.0,"Chennai, Tamil Nadu",India,"Plano, Texas",,7000.0,10001-50000,IT Services & Consulting,"Promotions, Salary, Work satisfaction",,3.0,3.0,2.9,3.0,2.9,2.7,2.5
Gallagher,3.6,1996.0,"Bengaluru/Bangalore, Karnataka",India,"Rolling Meadows, Illinois, USA",India,10001.0,100001+,Insurance,,,3.8,3.9,3.8,3.5,3.5,3.0,2.9
BlackBuck,3.7,1927.0,"Bangalore,Karnataka",India,"Bangalore,Karnataka",India,1664.0,1001-5000,Internet,Promotions,,3.4,3.6,3.6,3.6,3.5,3.6,3.3
Photon-Interactive,4.0,2015.0,,,London,United Kingdom,2341.0,1001-5000,IT Services & Consulting,"Salary, Skill development, Company culture",,3.9,4.0,4.0,4.1,4.0,4.1,4.0
NoBroker,3.0,1999.0,"Bangalore,Karnataka",India,"Bangalore,Karnataka",India,5559.0,5001-10000,Internet,"Promotions, Job security, Work satisfaction",,2.6,2.8,2.8,2.8,2.7,3.1,2.6
Tata-Advanced-Systems,3.7,2014.0,"Hyderabad/Secunderabad, Telangana",India,"Hyderabad/Secunderabad, Telangana",India,5001.0,5001-10000,Defence & Aerospace,Job security,"Promotions, Salary",4.2,3.6,3.5,3.7,3.5,3.1,2.9
ACT-Fibernet,3.8,2007.0,"Bengaluru/Bangalore, Karnataka",India,"Bengaluru/Bangalore, Karnataka",India,7362.0,5001-10000,Telecom,"Company culture, Job security",Promotions,3.8,3.6,3.8,3.6,3.5,3.7,3.2
DBS-Bank,3.7,2000.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,6500.0,10001-50000,Banking,Salary,Promotions,3.5,3.6,3.6,3.6,3.4,3.8,3.2
Domino's-Pizza,3.9,1968.0,,,,,,,,,,,,,,,,
Adani-Power,3.7,,"Ahmedabad, Gujrat",India,"Ahmedabad, Gujrat",India,4176.0,1001-5000,Power,Promotions,,3.7,3.5,3.5,3.7,3.5,3.7,3.3
Fortis-Healthcare,4.0,2006.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,12237.0,10001-50000,Healthcare,,,4.0,3.9,3.9,3.9,3.8,3.7,3.5
Foundever,3.4,1996.0,"Mumbai, Maharashtra",India,"Miami, Florida",United States (USA),7501.0,100001+,BPO,"Promotions, Salary, Work satisfaction",,3.3,3.4,3.3,3.2,3.2,3.0,2.7
Himalaya-Wellness,3.9,1985.0,,,"San Francisco,California",United States,6112.0,5001-10000,Pharma,"Company culture, Work-life balance",Promotions,3.7,3.8,3.8,3.7,3.6,3.7,3.2
IntouchCX,2.7,1930.0,,,"Winnipeg, Manitoba",Canada,3265.0,10001-50000,BPO,"Promotions, Job security, Work satisfaction",,2.5,2.7,2.6,2.6,2.6,2.7,2.3
BT-Group,3.8,2001.0,,,London,United Kingdom (UK),12001.0,100001+,Telecom,,,3.6,4.1,3.8,3.3,3.5,3.4,2.9
Sahrudaya-Healthcare-(Medicover-Hospitals),4.4,1846.0,,,,,,,,,,,,,,,,
Alldigi-Tech,3.9,,,,,,,,,,,,,,,,,
Laurus-Labs,4.3,,"Hyderabad/Secunderabad, Telangana",India,"Hyderabad/Secunderabad, Telangana",India,6167.0,5001-10000,Pharma,"Job security, Salary, Company culture",,4.2,4.0,4.1,4.0,3.9,4.2,3.7
Sterlite-Technologies,3.8,2005.0,"Pune, Maharashtra",India,"Pune, Maharashtra",India,1050.0,5001-10000,Hardware & Networking,,,3.3,3.7,3.7,3.6,3.5,3.7,3.1
Sterlite-Technologies,3.8,1988.0,"Pune, Maharashtra",India,"Pune, Maharashtra",India,1050.0,5001-10000,Hardware & Networking,,,3.3,3.7,3.7,3.6,3.5,3.7,3.1
JCB,3.9,1988.0,,,"Rocester, Staffordshire",England,5001.0,10001-50000,Industrial Machinery,Work-life balance,Promotions,3.5,3.8,3.7,3.6,3.6,3.7,3.2
Northern-Trust-Operating-Services,3.6,1945.0,"Bangalore/Bengaluru, Karnataka",India,"Chicago, Illinois",India,5600.0,10001-50000,Financial Services,,,3.5,3.5,3.5,3.4,3.3,3.2,2.9
Tractors-and-Farm-Equipment,3.9,1889.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",India,15001.0,10001-50000,Industrial Machinery,"Work-life balance, Skill development",Promotions,3.7,3.8,3.7,3.8,3.6,3.5,3.1
Bajaj-Electricals,4.0,1960.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,1743.0,1001-5000,Consumer Electronics & Appliances,"Company culture, Salary, Work-life balance",Promotions,3.6,3.8,3.8,3.7,3.7,3.8,3.3
Sammaan-Capital-Limited,3.7,1938.0,,,,,,,,,,,,,,,,
Parle-Agro,3.9,,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,5501.0,5001-10000,Beverage,"Job security, Work-life balance",Promotions,3.8,3.8,3.6,3.6,3.6,3.7,3.2
Planet-Spark,3.8,1984.0,"Gurgaon,Haryana",India,"Gurgaon,Haryana",India,500.0,201-500,EdTech,"Skill development, Company culture",,3.7,3.7,3.8,4.0,3.7,3.7,3.7
ICICI-Securities,3.9,2017.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,5409.0,5001-10000,Financial Services,"Job security, Work-life balance, Company culture",,4.0,3.9,3.8,3.7,3.6,3.6,3.5
Biocon-Limited,4.0,1995.0,,,,,,,,,,,,,,,,
CorroHealth-Infotech,3.6,,"Chennai, Tamil Nadu",India,"Plano, Texas",,13092.0,5001-10000,Analytics & KPO,Salary,Work-life balance,3.4,3.3,3.5,3.6,3.4,3.8,3.4
Emcure-Pharmaceuticals,3.7,2020.0,Pune,India,"Pune, Maharashtra",India,6731.0,50001-100000,Pharma,"Promotions, Job security",,3.3,3.5,3.4,3.5,3.4,3.6,3.2
McDonald's,3.9,1983.0,,,"Chicago, Illinois",United States (USA),10001.0,100001+,Hospitality,"Skill development, Company culture, Job security",,3.8,3.6,3.8,4.0,3.6,3.4,3.5
Adani-Group,3.8,1955.0,"Ahmedabad, Gujarat",India,,India,48001.0,10001-50000,Power,,,3.7,3.6,3.5,3.7,3.5,3.8,3.3
Hero-FinCorp,3.9,1988.0,Delhi,India,Delhi,India,3400.0,1001-5000,NBFC,"Work-life balance, Company culture",Promotions,3.7,3.9,3.8,3.7,3.7,3.7,3.2
Paras-Hospital,4.1,1991.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,2812.0,1001-5000,Healthcare,"Salary, Work-life balance, Skill development",,3.8,4.0,3.9,4.0,3.9,4.0,3.7
Intellect-Design-Arena,3.6,2006.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",India,5694.0,5001-10000,Software Product,Job security,"Promotions, Work satisfaction",3.8,3.4,3.4,3.4,3.3,3.5,3.2
Datamatics-Global-Services,3.3,2011.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,4962.0,1001-5000,IT Services & Consulting,"Promotions, Salary, Work satisfaction",,3.2,3.3,3.2,3.2,3.1,2.9,2.7
Mahindra-Holidays-&-Resorts,3.5,1975.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,5383.0,5001-10000,Hospitality,"Promotions, Work satisfaction, Work-life balance",,3.3,3.2,3.3,3.4,3.2,3.6,3.0
Patanjali-Ayurved,3.9,1996.0,"Haridwar, Uttarakhand",India,"Haridwar, Uttarakhand",India,6366.0,5001-10000,FMCG,Work-life balance,Promotions,3.7,3.8,3.7,3.6,3.6,3.7,3.3
Mahindra-Rural-Housing-Finance,4.0,2006.0,"Mumbai,Maharashtra",India,"Mumbai,Maharashtra",India,5442.0,10001-50000,NBFC,"Work-life balance, Company culture",,3.6,3.9,3.8,3.7,3.7,3.7,3.4
Statestreet-HCL-Services,3.4,2007.0,New Delhi,India,New Delhi,India,3839.0,5001-10000,BPO,"Promotions, Salary, Work satisfaction",,3.7,3.1,3.1,3.3,3.1,2.8,2.7
TaskUs,3.0,2012.0,,,"New Braunfels, Texas",United States (USA),12162.0,100001+,BPO,"Promotions, Job security, Skill development",,2.6,3.0,3.1,2.8,2.9,2.8,2.6
Cadila-Pharmaceuticals,3.2,2008.0,"Ahmedabad, Gujrat",India,"Ahmedabad, Gujrat",India,8800.0,5001-10000,Pharma,"Job security, Promotions, Work satisfaction",,2.7,3.1,3.0,3.1,3.0,3.3,2.9
3i-Infotech,3.4,1951.0,"Navi Mumbai, Maharashtra",India,"Navi Mumbai, Maharashtra",India,1389.0,5001-10000,IT Services & Consulting,,,3.2,3.4,3.2,3.2,3.2,3.1,2.8
Syngene-International,3.8,1993.0,"Bangalore/Bengaluru, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,6533.0,5001-10000,Clinical Research,,,3.8,3.8,3.7,3.7,3.5,3.4,2.9
Taj-Hotels-Resorts-and-Palaces,4.2,1993.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,20389.0,10001-50000,Hospitality,"Job security, Company culture, Skill development",,4.3,4.0,4.1,4.1,3.9,3.8,3.6
Aditya-Birla-Group,4.1,1903.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,227500.0,100001+,Metals & Mining,"Job security, Work-life balance, Skill development",,4.1,4.0,3.9,4.0,3.8,3.8,3.5
Capgemini-Engineering,3.3,1857.0,,,,,175000.0,,IT Services & Consulting,"Promotions, Salary, Work satisfaction",,3.6,3.5,3.3,3.2,3.1,2.7,2.5
Axis-Direct,3.6,,,,"San Mateo,California",United States,2692.0,10001-50000,Financial Services,Promotions,,3.6,3.5,3.4,3.4,3.4,3.5,3.1
Cholamandalam-MS-General-Insurance,3.7,2011.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",India,6501.0,50001-100000,Insurance,Promotions,,3.5,3.6,3.5,3.4,3.4,3.5,3.0
Info-Edge,3.9,2001.0,"Noida, Uttar Pradesh",India,"Noida, Uttar Pradesh",India,5984.0,5001-10000,Internet,,,4.1,3.8,3.8,3.5,3.5,3.5,3.3
Bureau-Veritas,3.8,1995.0,,,"Paris La Défense, Hauts-de-Seine",France,4628.0,50001-100000,Other,Work-life balance,Promotions,3.6,3.8,3.7,3.6,3.6,3.5,3.0
Delhi-Public-School,3.7,1828.0,"Greater Noida, Uttar Pradesh",India,"Greater Noida, Uttar Pradesh",India,4139.0,1001-5000,Education & Training,Promotions,,3.5,3.6,3.5,3.7,3.5,3.7,3.3
RMSI,3.5,1998.0,"Noida, Uttar Pradesh",India,"Noida, Uttar Pradesh",India,5001.0,1001-5000,IT Services & Consulting,"Promotions, Salary, Skill development",,3.5,3.5,3.5,3.2,3.4,3.1,2.8
KocharTech,3.6,1992.0,"Amritsar, Punjab",India,"Amritsar, Punjab",India,5001.0,5001-10000,IT Services & Consulting,,,3.5,3.5,3.5,3.5,3.4,3.3,3.3
Cybage,3.8,2002.0,"Pune, Maharashtra",India,"Pune, Maharashtra",India,7201.0,5001-10000,IT Services & Consulting,"Work-life balance, Company culture, Job security",Promotions,3.8,3.9,3.8,3.4,3.4,3.4,3.0
Aavas-Financiers,3.9,1995.0,"Jaipur, Rajasthan",India,"Jaipur, Rajasthan",India,7233.0,5001-10000,NBFC,"Job security, Skill development",,3.8,3.7,3.7,3.8,3.7,3.7,3.5
GAO-Tek,4.4,2011.0,,,New York,United States,304.0,201-500,Electrical Equipment,"Skill development, Work-life balance, Company culture",Salary,4.0,4.4,4.3,4.5,4.3,3.0,4.1
Xoriant,4.0,2005.0,"Pune, Maharashtra",India,"Sunnyvale, California",United States (USA),2720.0,5001-10000,IT Services & Consulting,,,3.7,4.1,4.0,3.9,3.9,3.9,3.5
Straive,3.3,1980.0,,,Singapore,Singapore,10694.0,10001-50000,IT Services & Consulting,,,3.4,3.4,3.3,3.1,3.2,2.8,2.5
Sopra-Steria,3.9,1968.0,"Noida, Uttar Pradesh",India,"Paris, Ile-de-France",France,5900.0,50001-100000,IT Services & Consulting,,,4.0,4.1,4.0,3.6,3.7,3.5,3.2
Kia-India,3.9,1944.0,,,Seoul,South Korea,15001.0,1001-5000,Automobile,"Job security, Skill development",,3.8,3.7,3.7,3.8,3.6,3.7,3.4
Newgen-Software-Technologies,4.1,1992.0,"New Delhi, Delhi",India,"New Delhi, Delhi",India,4040.0,1001-5000,IT Services & Consulting,,,4.4,4.0,4.0,3.9,3.9,4.0,4.0
Akums-Drugs-&-Pharmaceuticals-Limited,4.2,2004.0,"Delhi/NCR, New Delhi",India,"Delhi/NCR, New Delhi",India,7536.0,5001-10000,Pharma,"Job security, Company culture, Skill development",,4.3,4.0,4.1,4.1,4.0,4.0,3.9
Lodha,4.2,1980.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,4701.0,1001-5000,Real Estate,,,4.1,4.1,4.1,4.1,3.9,4.1,3.7
Apollo-Pharmacy,3.7,1983.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",India,45000.0,10001-50000,Pharma,Job security,"Promotions, Salary",3.8,3.5,3.5,3.7,3.4,3.3,3.2
Lifestyle,4.2,1999.0,"Bangalore/Bengaluru, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,18972.0,10001-50000,Retail,"Job security, Work-life balance, Company culture",,4.1,4.1,4.0,4.0,3.9,3.8,3.6
GVK-Emergency-Management-and-Research-Institute,3.6,2005.0,"Hyderabad/Secunderabad, Telangana",India,"Hyderabad/Secunderabad, Telangana",India,50000.0,10001-50000,Non-Profit,"Promotions, Job security",,3.2,3.5,3.4,3.5,3.5,3.4,3.1
Eureka-Forbes,3.6,1982.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,2721.0,1001-5000,Consumer Electronics & Appliances,"Promotions, Job security, Work satisfaction",,3.2,3.4,3.3,3.6,3.3,3.6,3.1
Sobha,3.8,1995.0,"Bangalore/Bengaluru, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,4483.0,1001-5000,Real Estate,Job security,Promotions,3.8,3.4,3.6,3.7,3.5,3.4,3.3
TCE,3.8,1962.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,7759.0,1001-5000,Engineering & Construction,"Job security, Work-life balance",Promotions,3.9,3.9,3.7,3.7,3.6,3.5,3.1
SBI-Securities,3.6,2006.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,10228.0,10001-50000,Financial Services,Promotions,,3.4,3.5,3.4,3.4,3.4,3.4,3.1
Bharat-Petroleum,4.2,1952.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,8747.0,5001-10000,Oil & Gas,"Skill development, Company culture, Salary",,3.9,4.0,4.0,4.1,4.0,4.0,3.4
Team-Computers,3.6,1987.0,"Delhi/NCR, Delhi",India,"Delhi/NCR, Delhi",India,3506.0,1001-5000,IT Services & Consulting,"Promotions, Salary",,3.4,3.6,3.5,3.4,3.4,3.3,3.1
Unacademy,2.9,2015.0,"Bangalore,Karnataka",India,"Bangalore,Karnataka",India,3000.0,1001-5000,EdTech,"Job security, Promotions, Work satisfaction",,2.2,2.6,2.7,2.8,2.6,3.2,2.4
Radisson-Hotels,4.0,1909.0,,,"Minnetonka, Minnesota",United States (USA),11221.0,50001-100000,Hospitality,"Skill development, Company culture, Job security",,3.8,3.8,3.8,3.9,3.7,3.7,3.5
Endurance-Technologies-Limited,4.0,,,,,,,,,,,,,,,,,
Myntra,3.8,2007.0,"Bangalore,Karnataka",India,"Bangalore / Bengaluru, Karnataka",India,2331.0,1001-5000,Internet,"Company culture, Skill development",Promotions,3.5,3.7,3.8,3.8,3.6,3.5,3.1
Panasonic-Life-Solutions-India,3.9,,,,,,,,,,,,,,,,,
Star-Union-Dai-ichi-Life-Insurance,3.8,2007.0,"Navi Mumbai, Maharashtra",India,"Navi Mumbai, Maharashtra",Array,5577.0,5001-10000,Insurance,,,3.7,3.7,3.6,3.6,3.6,3.7,3.5
Daikin-Airconditioning-India-Pvt.-Ltd.,4.1,,,,,,,,,,,,,,,,,
AWL-Agri-Business,4.1,,,,,,,,,,,,,,,,,
BNP-Paribas,3.7,1848.0,,,Paris,France,13000.0,100001+,Banking,"Job security, Work-life balance","Promotions, Salary, Skill development",4.0,3.8,3.6,3.3,3.4,3.2,2.9
Bharti-AXA-Life-Insurance,3.6,2006.0,Mumbai,India,Mumbai,India,3801.0,1001-5000,Insurance,Job security,,3.3,3.6,3.5,3.5,3.4,3.5,3.4
Cisco,4.1,1984.0,"Bangalore / Bengaluru, Karnataka",India,"San Jose,California",United States,16020.0,50001-100000,Hardware & Networking,"Work-life balance, Company culture, Salary",,3.5,4.3,4.2,3.9,3.8,3.9,3.4
SBI-General-Insurance,3.6,2009.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,9276.0,10001-50000,Insurance,"Promotions, Work satisfaction",,3.5,3.5,3.4,3.4,3.3,3.5,3.1
Lava-International,3.9,2009.0,"Noida,Uttar Pradesh",India,"Noida,Uttar Pradesh",India,3883.0,1001-5000,Consumer Electronics & Appliances,"Company culture, Salary, Work-life balance",Promotions,3.7,3.8,3.8,3.8,3.6,3.8,3.3
Renault-Nissan-Technology-&-Business-Centre-India,3.7,,,,,,,,,,,,,,,,,
Whirlpool,4.0,1911.0,"Gurgaon / Gurugram, Haryana",India,"Benton Harbor, Michigan",,2193.0,100001+,Consumer Electronics & Appliances,"Work-life balance, Company culture, Skill development",Promotions,3.6,4.1,3.9,3.8,3.8,3.6,3.3
Allstate,3.7,2012.0,"Bangalore/Bengaluru, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,8001.0,5001-10000,Insurance,Work-life balance,Promotions,3.5,3.9,3.6,3.5,3.5,3.6,3.0
Coromandel-International,4.1,1961.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",India,6300.0,5001-10000,Agro Chemicals,,,4.2,3.9,3.9,3.9,3.8,3.6,3.4
ValueLabs,3.5,1997.0,"Hyderabad/Secunderabad, Telangana",India,,,7001.0,5001-10000,IT Services & Consulting,"Promotions, Work satisfaction, Skill development",,3.2,3.5,3.3,3.2,3.2,3.5,3.0
GlaxoSmithKline-Pharmaceuticals,4.0,1830.0,,,Brentford,UnitedKingdom,3113.0,50001-100000,Pharma,"Company culture, Work-life balance, Salary",Promotions,3.7,4.1,4.1,3.9,3.8,4.0,3.3
Indian-Railways,4.1,1853.0,"Delhi/NCR, Delhi",India,"Delhi/NCR, Delhi",India,1175925.0,100001+,Railways,"Job security, Work-life balance, Skill development",,4.1,4.0,3.9,4.0,3.9,3.9,3.6
Sify-Technologies,3.6,1995.0,"Chennai,Tamil Nadu",India,"Chennai,Tamil Nadu",India,1116.0,1001-5000,IT Services & Consulting,"Promotions, Salary, Company culture",,3.6,3.5,3.3,3.7,3.4,3.2,2.9
Ambuja-Cements,3.8,1983.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,3883.0,1001-5000,Building Material,"Promotions, Job security",,3.3,3.6,3.5,3.7,3.6,3.6,3.2
Shahi-Exports,3.9,1974.0,"Faridabad, Haryana",India,"Faridabad, Haryana",India,100001.0,100001+,Fashion & Textile,"Job security, Company culture, Work-life balance",Promotions,3.9,3.8,3.8,3.7,3.7,3.6,3.3
Meesho,3.7,2015.0,"Bengaluru/Bangalore, Karnataka",India,"Bengaluru/Bangalore, Karnataka",India,1656.0,1001-5000,Internet,Salary,"Promotions, Job security",3.3,3.6,3.6,3.6,3.6,3.8,3.3
Nokia-Networks,4.1,,,,,,14863.0,,Hardware & Networking,"Work-life balance, Company culture, Job security",Promotions,3.9,4.2,4.1,3.8,3.9,3.7,3.2
Mercedes-Benz-Research-and-Development-India,3.6,1996.0,"Bengaluru/Bangalore, Karnataka",India,"Bengaluru/Bangalore, Karnataka",India,8501.0,5001-10000,IT Services & Consulting,,,3.8,4.0,3.5,3.2,3.3,3.4,2.6
Bank-of-Baroda,3.5,1908.0,"Vadodara/Baroda, Gujrat",India,"Vadodara/Baroda, Gujrat",India,74000.0,50001-100000,Banking,Job security,"Promotions, Work satisfaction, Company culture",3.9,3.3,3.2,3.3,3.2,3.6,3.1
Microsoft-Corporation,3.8,1975.0,,,Sunnyvale,United States (USA),20001.0,10001-50000,Software Product,"Work-life balance, Company culture","Job security, Promotions",3.1,3.9,3.8,3.7,3.6,3.7,3.2
Brakes-India,3.9,1962.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",India,10001.0,10001-50000,Auto Components,"Job security, Skill development, Company culture",Promotions,3.9,3.8,3.8,3.9,3.7,3.4,3.1
Life-Insurance-Corporation-of-India,4.4,1956.0,Mumbai,India,Mumbai,India,91606.0,50001-100000,Insurance,"Company culture, Work-life balance, Salary",,4.1,4.3,4.3,4.2,4.1,4.2,3.9
Generali-Central-Life-Insurance,3.5,,,,,,2625.0,,Insurance,"Promotions, Work satisfaction, Job security",,3.2,3.5,3.4,3.3,3.2,3.5,3.1
Henry-Harvin-Education,3.9,2015.0,,,"Noida, Uttar Pradesh",,314.0,201-500,EdTech,"Job security, Work-life balance, Skill development",,3.9,3.9,3.8,3.9,3.8,3.8,3.8
JK-Tyre,3.8,1976.0,New Delhi,India,New Delhi,India,15000.0,10001-50000,Auto Components,,,3.6,3.6,3.5,3.7,3.6,3.5,3.3
Spark-Minda,3.8,1958.0,"Noida, Uttar Pradesh",India,"Noida, Uttar Pradesh",India,3387.0,1001-5000,Auto Components,Promotions,,3.6,3.6,3.5,3.7,3.5,3.6,3.3
Poonawalla-Fincorp,3.5,1989.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,3594.0,1001-5000,NBFC,"Promotions, Work satisfaction, Job security",,3.3,3.4,3.3,3.4,3.3,3.7,3.1
upGrad,3.4,2015.0,"Mumbai, Maharashtra",India,"San Francisco,California",United States,9100.0,1001-5000,EdTech,"Promotions, Job security, Work satisfaction",,3.0,3.2,3.2,3.3,3.1,3.4,3.0
Cargill,3.9,1865.0,,,USA,,5001.0,100001+,Food Processing,,,3.5,4.0,3.9,3.6,3.7,3.8,3.0
Saint-Gobain,3.8,1665.0,,,Paris,France,9901.0,100001+,Building Material,,,4.0,3.8,3.8,3.6,3.5,3.3,3.0
CAMS,3.6,1988.0,Chennai,India,Chennai,India,7932.0,5001-10000,Financial Services,Job security,"Promotions, Salary",3.9,3.6,3.4,3.4,3.4,2.8,2.7
Jio-Platforms,3.4,,,,,,13474.0,,IT Services & Consulting,Job security,"Promotions, Salary, Work satisfaction",4.1,3.4,3.1,3.3,3.1,3.0,2.6
